"자치구별(1)","자치구별(2)",시점,발생량,발생량,발생량,발생량,발생량,발생량,발생량,발생량
"자치구별(1)","자치구별(2)",시점,소계,처리방법,처리방법,처리방법,처리방법,처리방법,처리방법,처리방법
"자치구별(1)","자치구별(2)",시점,소계,매립,소각,재활용,재활용,재활용,재활용,재활용
"자치구별(1)","자치구별(2)",시점,소계,소계,소계,소계,사료화,퇴비화,하수병합,기타
"서울시","강서구",2007,190.7,-,-,190.7,110.8,63.4,15.0,1.5
"서울시","강서구",2008,204.9,-,-,204.9,130.8,72.2,1.7,0.2
"서울시","강서구",2009,212.5,-,-,212.5,133.3,78.4,-,0.8
"서울시","강서구",2010,214.7,-,-,214.7,130.9,82.7,-,1.1
"서울시","강서구",2011,204.0,-,-,204.0,87.7,115.9,-,0.4
"서울시","강서구",2012,199.6,-,-,199.6,49.8,117.1,-,32.7
"서울시","강서구",2013,170.7,-,-,170.7,50.9,61.7,-,58.1
"서울시","강서구",2014,170.2,-,-,170.2,96.6,73.6,-,-
"서울시","강서구",2015,178.8,-,-,178.8,122.4,56.4,-,-
"서울시","강서구",2016,178.2,-,-,178.2,124.1,54.1,-,-
"서울시","강서구",2017,168.5,-,-,168.5,104.2,64.3,-,-
"서울시","강서구",2018,163.1,-,-,163.1,116.1,47.0,-,-
"서울시","강서구",2019,165.0,-,-,165.0,103.3,61.3,-,0.4
